Geneid	D10_WT_Fe_Ov-1	D10_WT_Fe_Ov-2	D10_WT_Fe_Ov-3	D10_MT_Fe_Ov-1	D10_MT_Fe_Ov-2	D10_MT_Fe_Ov-3	D10_WT_Ma_Te-1	D10_WT_Ma_Te-2	D10_WT_Ma_Te-3	D30_WT_Fe_Ov-1	D30_WT_Fe_Ov-2	D30_WT_Fe_Ov-3	D30_MT_Fe_Ov-1	D30_MT_Fe_Ov-2	D30_MT_Fe_Ov-3	D30_WT_Ma_Te-1	D30_WT_Ma_Te-2	D30_WT_Ma_Te-3	D120_WT_Fe_Ov-1	D120_WT_Fe_Ov-2	D120_WT_Fe_Ov-3	D120_MT_Fe_Ov-1	D120_MT_Fe_Ov-2	D120_MT_Fe_Ov-3	D120_WT_Ma_Te-1	D120_WT_Ma_Te-2	D120_WT_Ma_Te-3
LOC110016348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111947145	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111947147	77	92	99	51	36	60	31	70	40	1	1	0	1	1	0	7	4	7	12	28	58	19	5	8	5	6	6
LOC110014915	4	3	3	2	0	4	1	2	1	3	2	6	1	0	3	7	14	10	0	3	2	0	2	3	6	8	11
LOC110017276	4	2	1	2	0	4	1	5	3	0	2	0	1	0	1	4	2	5	0	2	1	0	0	1	2	1	1
gemin6	1088	947	1098	901	954	934	949	923	501	347	350	443	125	289	184	905	770	787	743	570	552	483	531	527	222	197	246
sos1	1167	1022	1244	1257	1546	1538	1235	626	538	1085	1096	1080	328	241	685	1487	1200	1229	847	776	855	833	826	864	1175	840	891
tmem178a	70	89	74	74	96	93	66	39	43	209	171	194	45	67	129	204	143	196	381	293	348	382	338	366	281	300	251
LOC101160286	111	106	105	158	196	158	182	49	54	9	13	18	3	11	5	128	128	169	31	21	27	16	24	35	84	89	64
eif4a3	1620	1607	1827	1888	2150	2323	1659	1153	581	3418	3084	3220	1447	1915	2399	4774	4082	4833	2471	2325	2533	2777	2372	2538	2462	1817	1974
LOC105358811	389	318	364	367	378	428	432	166	84	459	411	463	173	211	242	1442	1280	1542	795	744	581	742	796	793	941	725	564
LOC101163304	112	81	115	98	123	121	133	56	59	10	13	6	0	22	4	30	17	28	15	16	10	17	18	16	47	25	31
LOC101160041	12	9	19	19	7	7	16	6	2	60	44	59	18	17	21	24	14	14	22	23	17	23	14	22	24	27	28
LOC101163552	120	64	129	85	75	66	65	27	19	5465	5402	5603	1515	835	3159	1333	1015	1094	2481	2653	2590	2407	2702	2538	243	197	175
LOC110014631	9	5	14	5	6	6	7	12	9	2	6	1	0	1	5	2	0	4	1	0	1	0	2	2	13	13	9
aars2	217	215	265	316	258	307	243	96	210	684	698	656	165	135	478	358	395	415	214	232	288	134	240	207	666	477	478
LOC101162579	1447	1130	1566	2256	2210	1907	2632	900	414	893	762	763	406	609	659	3129	2676	3134	1174	1208	1085	1380	1383	1393	508	424	443
LOC111947154	666	697	669	552	729	565	572	277	332	4	5	2	1	2	0	61	64	66	3	6	2	4	0	2	11	8	10
mrps28	255	311	362	339	294	267	284	173	86	447	380	446	214	341	338	332	279	320	398	350	356	386	420	361	109	107	78
sde2	597	663	620	717	770	667	787	487	401	581	541	605	274	325	463	1271	1004	1250	356	462	469	317	539	408	1630	1464	1443
LOC111947157	31	13	39	23	45	42	25	16	15	4	6	4	0	3	3	11	29	23	4	9	9	8	9	4	41	38	38
mtif2	880	809	811	1072	1127	867	700	629	621	431	394	469	230	260	419	733	450	691	246	272	274	332	333	294	355	250	303
LOC101174888	432	434	451	374	511	561	449	361	495	85	107	113	49	37	57	610	544	714	177	127	189	222	172	160	1349	1084	1289
LOC101164035	2908	2838	3204	3530	4520	3775	3135	1130	1379	445	467	494	70	202	159	1160	740	990	356	306	275	364	274	348	1026	782	901
polr3f	333	336	376	246	354	364	205	280	331	764	608	678	428	612	478	1197	957	1132	859	692	750	725	790	726	789	580	599
dzank1	65	67	69	42	47	70	74	59	94	2	3	6	1	2	3	369	286	398	6	3	3	5	13	4	1014	1194	898
kat14	468	424	505	555	521	564	407	317	278	921	819	943	333	387	624	659	542	735	629	586	723	626	675	623	447	364	319
LOC101164779	199	196	204	210	392	255	245	55	55	19	27	24	2	5	14	78	24	25	24	14	26	22	18	26	188	204	194
LOC101156869	466	465	511	421	466	579	400	393	281	707	673	719	303	484	378	1035	872	934	986	846	733	1087	1016	1007	1051	733	763
psen2	431	442	493	839	824	666	769	139	86	602	554	594	206	307	348	966	682	846	973	878	818	1109	956	923	352	300	354
LOC101162981	145	146	134	85	284	242	56	66	34	11	38	39	6	24	14	67	86	76	33	53	41	54	32	47	89	55	94
LOC101163227	67	46	63	62	49	62	27	19	49	40	38	38	6	11	10	20	22	21	10	13	6	11	7	7	126	81	79
LOC101175293	662	627	745	728	834	793	624	304	277	1388	1262	1509	566	559	1068	1116	908	1005	768	715	779	929	823	894	804	576	586
LOC101162421	1159	871	1164	1176	1488	1636	1127	567	442	1550	1520	1467	680	1030	846	2168	1945	2104	2597	2171	2403	2610	2597	2258	4097	3465	2857
LOC111947169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105358735	8	13	11	17	25	12	39	4	2	1	3	1	0	5	6	58	24	42	6	14	8	17	15	10	20	16	16
LOC101168917	304	318	376	207	212	382	201	556	501	1088	991	1071	443	540	814	551	504	596	1170	969	1099	1147	1118	1049	567	449	477
LOC101168674	6	9	8	4	4	11	5	5	7	1	4	3	2	0	1	1	6	4	2	2	1	1	3	2	5	4	5
esf1	943	992	990	975	1163	1083	842	1075	834	2327	2396	2412	751	564	1351	1166	918	1150	1810	1755	2081	1560	1535	1584	1200	693	859
ndufaf5	383	485	477	409	411	475	339	432	240	150	155	174	90	153	126	391	321	385	174	200	217	196	255	223	419	279	248
LOC105358217	4	7	13	4	9	6	4	2	1	1	2	1	0	1	2	14	0	8	3	3	3	1	0	0	14	7	8
LOC101160959	414	512	494	435	460	443	409	724	810	391	385	422	125	210	210	298	296	328	399	422	419	310	330	279	391	356	355
LOC105358218	96	106	90	87	79	87	69	117	133	138	115	133	113	197	134	158	119	176	121	129	168	96	141	114	256	194	194
kif16b	357	361	411	431	430	395	338	267	302	1394	1487	1487	497	332	1172	567	405	506	733	745	904	822	767	773	985	756	773
snrpb2	520	456	548	369	461	562	380	496	373	1679	1792	1895	1091	1478	1176	420	341	411	2314	1881	2198	2415	2224	2031	1919	1618	1739
LOC101174562	24	75	41	22	16	16	48	30	17	5	5	0	1	5	2	7	2	5	2	1	2	7	2	2	19	9	13
aplf	178	207	200	183	179	220	210	175	141	777	688	789	292	381	457	300	234	373	790	697	797	790	866	842	415	301	343
fbxo48	42	75	66	87	97	45	101	63	62	49	37	47	31	37	41	170	124	196	129	106	122	140	162	144	1065	789	726
LOC101161947	209	261	283	199	212	269	214	183	294	0	0	0	0	0	0	71	59	53	1	1	0	1	1	2	97	58	60
map1lc3c	41	37	42	52	28	57	42	8	15	4482	3823	4416	3244	5414	3882	92	163	134	6748	5529	5524	5917	6310	5746	4	11	12
LOC101155981	432	584	561	363	425	474	552	429	863	232	198	213	96	114	177	419	268	302	80	75	82	96	84	90	226	137	107
LOC101168599	216	200	208	240	269	275	270	141	90	1056	885	1063	417	445	732	710	617	703	484	521	487	580	582	564	325	249	281
acaa1	2377	2553	2560	2959	3269	3221	2350	1230	610	412	441	439	194	228	266	1053	834	1169	459	440	479	440	491	468	585	535	467
LOC101155741	3052	3055	3363	2822	3743	3499	3778	1334	2344	4	3	6	1	1	4	21	1	24	0	4	2	3	3	3	27	16	40
LOC110014047	80	88	93	136	92	122	141	122	32	75	103	91	46	88	15	26	34	37	230	148	176	188	227	207	16	16	10
LOC101174559	10	13	17	10	20	16	18	9	14	32	40	39	11	11	30	32	21	44	35	33	33	39	31	22	4	5	6
LOC111947315	240	252	230	220	214	265	205	118	113	875	1370	1188	276	387	486	9081	7830	8405	163	228	156	230	135	177	2199	1744	1284
LOC105357879	3	6	5	3	8	8	6	3	1	1	4	1	0	0	2	5	4	4	2	0	0	1	3	2	5	3	7
hpgd	601	576	694	919	586	714	1260	499	165	44	36	45	11	25	10	1006	819	1015	22	31	31	19	21	25	22	12	57
wdr17	373	471	426	416	495	479	402	551	746	14	7	6	5	1	11	83	89	84	11	16	6	13	11	14	64	47	56
LOC101157589	2343	1407	2257	1520	1937	2443	1462	1427	709	4695	4279	4468	2729	3967	4111	19574	18146	20941	2321	1969	2636	2486	2275	2231	19241	12376	14385
LOC101157104	916	709	964	1058	1079	1060	718	586	415	762	708	814	372	440	322	500	402	540	1634	1344	1550	1081	1488	1291	284	163	167
LOC101157342	373	553	493	329	375	432	397	383	928	284	253	264	93	118	184	1117	865	860	163	173	158	183	173	194	1491	1166	1127
LOC101169996	753	762	760	794	756	640	926	1013	666	116	95	122	33	92	171	209	125	140	51	51	64	105	34	95	86	82	104
LOC101169757	437	481	467	233	217	316	279	537	652	682	717	707	410	553	748	2644	2516	3038	1219	1214	965	1023	1385	1302	1349	1331	952
trnar-ucu	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	2
trnak-uuu	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	1	0	1	0	0
patl1	556	688	645	905	705	545	693	421	350	1270	1090	1179	418	453	632	1455	1178	1501	719	800	942	874	825	805	849	669	625
LOC101169262	113	183	146	215	187	133	247	98	111	13	16	20	5	7	15	118	107	126	19	39	22	20	38	38	152	106	125
LOC105357655	2	0	6	2	2	3	1	2	1	0	0	1	1	0	0	0	7	6	0	0	0	1	0	1	5	2	3
LOC101169013	114	79	100	118	131	111	100	34	28	875	839	876	476	590	755	324	330	394	860	859	887	947	784	765	506	512	537
