miRNA	D10_WT_Fe_Ov-1	D10_WT_Fe_Ov-2	D10_WT_Fe_Ov-3	D10_MT_Fe_Ov-1	D10_MT_Fe_Ov-2	D10_MT_Fe_Ov-3	D10_WT_Ma_Te-1	D10_WT_Ma_Te-2	D10_WT_Ma_Te-3	D30_WT_Fe_Ov-1	D30_WT_Fe_Ov-2	D30_WT_Fe_Ov-3	D30_MT_Fe_Ov-1	D30_MT_Fe_Ov-2	D30_MT_Fe_Ov-3	D30_WT_Ma_Te-1	D30_WT_Ma_Te-2	D30_WT_Ma_Te-3	D120_WT_Fe_Ov-1	D120_WT_Fe_Ov-2	D120_WT_Fe_Ov-3	D120_MT_Fe_Ov-1	D120_MT_Fe_Ov-2	D120_MT_Fe_Ov-3	D120_WT_Ma_Te-1	D120_WT_Ma_Te-2	D120_WT_Ma_Te-3
ola-let-7a-2-5p	758	422	362	696	576	1228	313	179	862	2452	1371	1597	230	47	374	381	306	161	2507	3475	1316	1499	2433	1593	658	758	630
ola-let-7a-3-5p	65531	36654	25265	45131	39252	90179	16999	14730	67478	143082	74071	108005	17479	4390	59453	28733	23766	13477	191816	240629	97133	108727	183768	133388	44864	52027	39437
ola-let-7a-3-3p	794	565	584	904	657	1535	280	222	845	185	270	180	3	0	18	186	145	95	678	1755	1164	802	1221	562	393	393	260
ola-let-7a-4-3p	77	57	64	136	47	101	33	39	89	0	33	18	0	0	4	12	27	8	47	139	86	49	91	26	49	62	51
ola-let-7a-5-3p	93	49	52	108	51	94	31	36	113	5112	3932	4977	129	88	330	451	557	260	642	1139	589	564	700	452	318	287	176
ola-let-7a-6-3p	1	0	6	2	0	3	1	0	5	0	0	0	0	0	0	2	2	1	15	18	28	17	10	17	8	5	2
ola-let-7b-5p	4630	2771	2303	4885	3889	7147	569	1450	7978	28614	13760	20735	1286	1171	3163	3910	2935	1944	39873	75878	33138	34282	60980	27801	9753	8861	8994
ola-let-7b-3p	107	32	69	92	69	166	23	25	83	414	454	567	1	1	10	47	24	21	55	213	116	162	134	72	69	44	42
ola-let-7c-2-5p	9936	5669	3730	7130	6629	14468	1301	2195	10111	5940	2884	3662	463	224	3908	825	641	400	2394	4210	1786	1835	3164	1614	1188	1223	1095
ola-let-7c-3p	103	69	103	125	68	171	46	27	105	86	15	28	2	0	6	23	20	12	22	81	40	33	35	25	26	19	23
ola-let-7d-5p	50947	33627	23014	42245	34777	69683	4263	15187	58869	29158	17669	30100	2241	899	5419	3348	2460	1606	14944	30365	13256	13419	21813	11782	7216	6636	6671
ola-let-7e-5p	2186	1131	1107	1864	1308	3256	640	527	2659	16258	8253	10358	1890	561	12946	10260	9634	4957	22069	31458	13555	15123	21476	14948	6600	7079	4529
ola-let-7e-1-3p	19	12	18	29	26	76	15	6	26	148	133	126	1	2	86	91	131	62	94	223	124	110	154	70	54	68	26
ola-let-7e-2-3p	84	43	34	74	39	104	12	9	82	97	31	14	1	0	16	39	29	29	64	124	92	74	90	80	42	47	28
ola-let-7g-5p	30049	15181	11496	19941	16356	39018	6375	7230	33391	28053	12877	15572	3596	865	23393	8609	9823	4985	27666	34820	13873	15098	23216	19052	18399	19673	13942
ola-let-7g-1-3p	175	113	107	168	121	254	42	45	189	132	85	42	1	0	13	57	38	26	124	179	145	97	133	111	116	86	54
ola-let-7g-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-let-7h-1-5p	4433	2871	2870	4055	3229	6138	924	1448	6156	8294	3111	5539	982	266	1181	1488	1243	860	7139	15364	6502	5939	8908	5601	7851	6524	6534
ola-let-7h-1-3p	127	72	99	131	101	141	51	56	131	288	261	218	0	0	20	11	6	11	30	132	56	79	45	34	68	48	57
ola-let-7i-5p	7367	3862	6424	7842	4766	11964	1388	2261	11431	12770	5494	7003	1346	666	5123	2491	3007	1877	9292	18775	9712	8386	13315	9712	16975	15800	12988
ola-let-7i-1-3p	147	66	110	138	73	183	57	28	213	2	9	9	0	0	3	29	17	11	144	618	338	108	263	191	1315	373	182
ola-let-7j-5p	9253	5232	5717	9869	5601	12994	2591	3281	15094	6383	3405	5014	1808	500	9797	4443	4250	2703	9945	21030	8825	8919	13010	7718	10908	9926	7855
ola-let-7j-3p	98	46	81	139	63	194	12	22	106	0	0	0	0	0	0	15	14	8	65	142	82	76	90	57	123	95	79
ola-miR-1-1-5p	54	23	60	35	17	40	23	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
ola-miR-1-3p	42080	28803	23966	25885	18961	31320	9135	9895	22455	80	100	134	17	8	21	1985	1520	799	6783	9649	4089	4859	8166	5915	3497	3730	4325
ola-miR-100-5p	64148	42741	43469	75261	48497	88276	31568	22657	95942	16234	12827	16140	2529	1732	5878	16837	18716	11254	36418	61916	31326	39108	52462	21305	31166	28990	25326
ola-miR-100-2-3p	159	52	70	103	42	139	17	16	72	0	0	0	0	0	5	103	204	90	238	410	233	177	325	177	171	168	166
ola-miR-101a-5p	6	12	15	3	8	22	5	3	7	0	0	0	0	0	0	0	0	0	9	40	17	15	30	6	19	22	19
ola-miR-101a-3p	239	89	187	105	126	233	33	27	104	0	0	0	0	0	12	18	11	13	225	590	379	247	557	227	491	345	564
ola-miR-101b-5p	1396	861	829	1395	839	1948	525	391	1893	43	43	11	2	3	8	40	14	15	179	270	154	180	238	94	215	171	181
ola-miR-101b-3p	264	65	125	114	66	285	16	17	87	0	0	0	0	0	0	22	19	7	137	329	205	125	297	98	279	195	304
ola-miR-103-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-103-3p	5610	3103	5044	4793	5042	8926	2615	1698	8678	182	37	98	17	15	139	215	173	135	1029	1952	1094	737	1058	792	894	864	745
ola-miR-103-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-10544-3p	75	5	12	23	17	68	6	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	2	0	4	2	1
ola-miR-10545-5p	130	68	81	99	83	126	73	29	90	79	0	0	0	10	3	31	31	24	181	341	237	138	218	155	224	163	166
ola-miR-10545-3p	2	5	4	5	13	4	2	1	2	0	0	0	0	0	0	0	1	1	4	10	6	3	8	3	5	6	6
ola-miR-10551-3p	1	0	7	8	1	3	1	0	1	0	0	0	0	0	0	0	1	0	1	4	2	3	5	2	2	1	1
ola-miR-10585-5p	9	15	14	7	5	18	9	5	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1
ola-miR-10651-5p	8	0	6	6	5	8	0	2	8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
ola-miR-10651-3p	10	8	21	37	5	21	10	3	28	0	0	0	0	0	0	1	0	0	1	8	5	4	3	2	1	2	1
ola-miR-106ba-5p	1431	556	1257	876	1015	1620	447	525	1631	80	143	77	6	4	32	157	125	98	994	2094	1280	1088	1602	920	2621	1781	2337
ola-miR-106ba-3p	2	0	1	7	2	5	1	0	0	0	0	0	1	0	0	0	0	0	1	4	6	3	5	1	6	5	3
ola-miR-107a-3p	330	201	974	210	240	380	103	122	352	0	0	0	0	2	10	14	8	6	68	405	99	68	112	75	142	85	170
ola-miR-10965-5p	522	338	150	352	322	330	127	150	208	45	0	28	2	13	20	59	31	30	63	80	57	46	91	21	45	31	37
ola-miR-10965-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1
ola-miR-10b-5p	86771	82389	85167	126736	75202	83733	70360	45022	153806	1062	724	530	47	29	66	721	460	392	1715	3828	2190	2570	3183	1299	3256	2582	3678
ola-miR-10b-1-3p	389	367	350	457	392	425	267	197	404	0	0	0	0	0	0	2	0	0	0	8	4	6	11	4	1	1	3
ola-miR-10b-2a-3p	33	23	28	7	16	28	16	16	24	0	0	0	0	0	0	0	0	0	3	15	11	3	9	3	10	8	7
ola-miR-10c-5p	57922	36926	42228	64021	47174	67612	23549	21638	85618	242	187	169	33	4	14	242	142	150	277	535	310	436	477	266	280	327	1028
ola-miR-10c-3p	143	69	108	142	103	119	38	69	129	0	0	0	0	0	0	3	0	0	1	3	1	5	4	3	4	1	10
ola-miR-10d-5p	110347	108129	104135	160752	92367	92435	79148	56152	170657	68	68	61	13	1	3	54	33	22	33	33	9	22	28	28	365	264	462
ola-miR-10d-3p	215	218	124	285	186	189	135	106	246	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ola-miR-122-5p	52694	38206	32457	68064	42158	84560	15193	28339	120480	5096	2681	6239	148	2095	194	880	1283	787	355	935	989	273	2093	818	1136	1713	1689
ola-miR-122-3p	4945	2513	1355	4165	3700	10276	892	1057	6230	0	13	70	4	7	0	152	332	137	23	64	63	12	174	57	146	186	162
ola-miR-124-5p	74	38	53	67	63	128	49	24	111	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
ola-miR-124-3p	85029	1523	15159	24122	19999	169257	10716	413	3557	0	0	0	2	0	3391	8	3	2	33	190	32	16	38	13	230	55	92
ola-miR-124-4a-5p	5	4	11	5	6	18	9	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-124-4b-5p	2	0	1	4	6	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-124-2/3/5-5p	74	38	53	67	63	128	51	24	111	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
ola-miR-124-6-5p	19	19	31	30	23	46	25	14	35	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1
ola-miR-125a-1-5p	31800	18440	18719	41429	25881	48548	15764	6363	52235	7686	4754	6312	672	565	1861	4145	4304	2242	6283	14192	8057	10247	10639	3515	6179	6040	5864
ola-miR-125a-1-3p	337	150	267	280	273	438	126	79	224	116	50	16	1	1	12	31	28	15	66	122	90	76	141	49	49	26	33
ola-miR-125a-2-5p	27393	14109	18784	48787	23684	43995	16982	6340	64868	2807	3037	3862	315	209	619	1449	1244	672	1398	3564	1565	2781	2374	700	1669	1642	1809
ola-miR-125a-2-3p	130	78	109	106	132	228	44	30	65	21	0	11	0	0	3	6	5	2	10	35	15	13	17	15	11	8	7
ola-miR-125b-5p	10711	5833	10712	10434	10175	14596	9245	4638	13985	5441	2172	1428	262	277	748	1993	2511	1226	6852	20785	16958	8278	15545	6402	7974	6788	18610
ola-miR-125b-1-3p	108	21	60	121	78	200	45	1	27	0	37	9	0	0	0	20	10	12	18	72	37	32	53	11	55	47	40
ola-miR-125b-2-3p	284	28	134	383	221	491	117	16	53	157	134	186	10	17	29	42	49	32	67	232	197	89	160	55	54	69	42
ola-miR-125b-3-3p	765	480	499	1027	618	1079	334	411	1361	493	412	484	40	22	49	31	25	23	40	68	41	54	56	27	44	39	36
ola-miR-126b-5p	3121	1924	2485	1891	3162	5287	1005	848	3093	82	10	0	3	7	25	212	118	123	1623	5553	3576	2516	3762	1559	1531	1301	1458
ola-miR-126b-3p	8762	5207	6583	8987	6888	14344	2915	2255	11711	2447	1248	1548	208	198	685	5059	4746	3057	10131	15906	10688	8873	12264	8127	5971	5570	5601
ola-miR-128-2-5p	432	160	91	330	152	613	75	55	135	0	13	0	0	0	7	1	0	0	3	2	0	2	4	1	7	4	7
ola-miR-128-3p	29353	13229	18891	21383	23377	55500	11388	4404	20117	1410	653	983	178	60	411	483	222	212	2223	4789	3406	2442	3663	1623	5500	4088	3535
ola-miR-128-3-5p	778	429	244	748	397	1369	210	222	896	0	48	44	0	0	5	5	4	0	13	22	27	27	21	14	36	25	23
ola-miR-129-5p	2973	1880	2814	4659	2518	4685	3233	1234	8805	32	13	0	8	3	54	3	1	2	18	55	17	33	65	9	98	82	123
ola-miR-129-1a-3p	98	70	130	90	156	183	133	40	204	0	0	0	9	0	1	1	0	0	0	1	0	0	0	0	2	0	1
ola-miR-129-1b/2-3p	361	229	415	240	567	756	426	92	660	0	0	0	0	6	16	3	1	1	1	5	2	0	4	2	8	3	14
ola-miR-1306-5p	84	32	87	152	70	112	50	34	85	88	67	161	1	2	3	24	16	9	11	23	14	12	10	2	14	17	7
ola-miR-1306-3p	24	29	15	46	14	40	14	13	27	0	0	0	0	0	0	1	1	0	6	18	14	9	10	4	9	7	2
ola-miR-130b-5p	2238	1337	1197	2907	1469	2778	1339	706	2345	362	241	314	38	9	55	112	74	49	80	263	85	118	160	50	135	134	114
ola-miR-130b-3p	833	323	464	597	438	1014	79	74	429	0	0	54	0	0	1	26	29	13	58	188	86	76	98	60	97	78	104
ola-miR-130c-1-5p	199	122	200	183	131	202	134	146	164	0	0	0	0	3	0	6	2	1	12	16	7	3	17	9	2	1	0
ola-miR-130c-1-3p	3216	1792	2630	1151	2052	2879	1000	1008	2077	87	0	1	2	0	58	72	18	21	162	1305	298	295	419	158	183	137	283
ola-miR-130c-2-5p	29	24	21	41	12	31	15	13	35	0	0	0	0	0	0	0	0	1	4	7	3	5	5	3	5	5	1
ola-miR-130c-2-3p	574	283	464	265	363	520	162	155	426	0	0	15	2	0	50	27	10	8	65	561	109	113	150	72	138	71	188
ola-miR-132a-5p	2168	540	586	1259	805	2157	169	135	1106	0	0	0	0	0	0	1	4	0	27	33	6	17	56	9	8	7	21
ola-miR-132-3p	263	105	89	190	686	241	179	49	159	4	1	1	3	0	4	0	1	0	13	20	12	10	40	8	35	35	41
ola-miR-132b-5p	2831	803	975	1739	1654	3614	445	310	2124	36	0	10	0	1	38	3	1	2	12	12	5	4	20	5	26	20	17
ola-miR-133a-5p	323	138	351	97	124	201	24	104	82	0	0	0	0	0	0	2	1	0	13	33	29	12	28	17	22	16	20
ola-miR-133a-3p	279910	150194	287400	343959	222588	197175	164442	151923	320401	93	68	72	24	12	39	151	119	86	2289	6484	3561	3141	5160	2533	3581	2381	4065
ola-miR-133b-5p	1883	1001	808	1997	553	1569	558	242	672	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
ola-miR-133b-3p	43035	14255	38830	43037	37912	31341	21975	10389	22004	20	0	0	2	0	3	8	1	4	90	275	196	100	214	94	229	115	252
ola-miR-135a-1-5p	3972	1968	2884	2935	4440	7920	1904	926	6799	0	0	0	0	1	8	9	10	9	82	33	71	27	89	47	92	157	79
ola-miR-135a-1-3p	18	5	4	5	4	21	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ola-miR-135a-2-5p	2824	1356	1739	2111	2874	5617	853	471	3951	1	4	4	0	0	347	71	68	36	14	32	38	13	67	10	65	67	49
ola-miR-135a-2-3p	0	0	2	0	3	4	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-135b-5p	531	322	392	372	637	851	198	91	564	12	1	1	0	0	0	13	12	10	10	30	20	20	28	25	105	69	148
ola-miR-135b-3p	63	44	49	53	95	124	36	21	77	580	390	383	2	0	0	6	5	2	1	0	0	1	2	1	14	7	1
ola-miR-135c-5p	67372	35328	37001	61687	53109	133310	28816	14187	90486	2254	2927	2503	282	59	485	4687	6348	3755	3466	6379	3427	3730	5679	3104	12291	7846	6111
ola-miR-137-1-5p	118	70	71	144	129	178	96	38	278	0	0	0	0	0	0	3	1	1	2	4	0	7	5	3	5	1	10
ola-miR-137-1-3p	4586	2103	3070	3225	2573	5725	1110	818	4384	0	0	0	0	0	0	71	32	41	93	132	61	104	251	50	282	150	445
ola-miR-137-2a-5p	36	18	29	29	62	63	31	19	54	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ola-miR-137-2a-3p	2994	1383	2049	2218	1781	4230	618	480	2787	0	0	0	0	0	11	17	18	10	35	68	13	37	68	18	57	30	183
ola-miR-1388-5p	120	78	104	154	75	169	37	77	109	0	0	0	0	0	0	7	2	9	32	84	51	36	42	41	17	7	54
ola-miR-1388-3p	5778	2744	3064	5885	4683	8319	894	1665	4074	2254	1347	1306	567	148	574	1080	1128	765	1075	2154	930	814	849	772	318	343	849
ola-miR-138-5p	45179	17228	27529	39133	32136	62617	10592	8820	65965	171	63	44	27	13	74	97	76	78	299	551	361	406	520	241	1462	1231	1501
ola-miR-138a-3p	66	53	106	159	119	87	197	83	229	0	0	0	0	0	0	1	1	2	2	13	3	4	11	4	27	11	23
ola-miR-138bb-3p	117	9	48	42	109	149	62	9	10	38	21	0	0	0	0	0	1	0	2	3	4	4	5	0	25	13	26
ola-miR-139a-5p	10018	7018	9802	15557	9729	16697	8749	5592	22284	3220	2732	3513	551	281	940	1301	1275	664	3225	4232	2532	1946	3890	1582	1130	1287	998
ola-miR-139a-3p	771	466	449	810	628	1131	317	236	1142	134	113	97	29	14	40	31	22	18	48	106	58	51	106	37	17	22	23
ola-miR-140-5p	72340	17802	40990	50704	40122	102056	13583	7820	33209	72	109	54	31	30	162	1196	1373	862	2694	6316	3989	3203	5107	2233	1999	1973	1749
ola-miR-140-3p	8400	1993	4170	4295	6070	10104	2628	981	2347	134	16	3	6	1	38	63	43	39	231	534	361	206	340	245	172	130	166
ola-miR-142-5p	41	10	29	16	12	36	1	1	6	0	21	0	0	1	0	45	22	11	494	2325	1018	815	1055	442	235	205	542
ola-miR-142-3p	461	152	374	249	183	433	53	106	286	0	0	0	0	1	0	94	54	39	2678	14492	6188	5984	5417	2345	940	742	2510
ola-miR-143-5p	43	7	30	16	37	43	5	4	36	0	0	0	0	0	0	0	1	1	46	294	115	76	166	46	112	63	91
ola-miR-143-3p	126843	35815	80401	129643	85713	162493	18744	7569	53670	21939	11703	16819	658	447	2348	42517	33405	20081	86247	239067	97296	99905	193790	60716	108670	95952	116264
ola-miR-144-5p	48	29	46	58	19	50	19	17	74	1	0	0	0	0	0	2	13	18	99	838	326	113	409	135	76	103	94
ola-miR-144-3p	306	25	150	78	75	327	6	14	55	0	0	0	0	0	1	112	39	19	1413	10663	6139	1637	8492	2018	1578	1854	2093
ola-miR-145-5p	3066	1801	3080	2090	3430	3955	1613	1262	3887	178	271	52	128	141	192	685	460	441	15839	26578	12358	9656	24381	17256	14217	10688	18528
ola-miR-145-3p	119	56	97	95	67	131	20	28	87	0	0	0	0	0	0	11	8	11	144	408	200	238	367	158	210	146	169
ola-miR-146a-5p	5013	2817	5428	5280	3569	4772	2537	2263	13697	198	347	134	2	0	15	334	251	201	20697	35708	19583	12066	28965	11263	1479	1523	2738
ola-miR-146a-3p	2170	2433	2439	3396	1847	2530	1199	760	5001	129	30	126	5	4	9	98	82	59	1589	3373	1654	1074	2238	800	136	166	224
ola-miR-147-3p	9	0	4	3	0	3	0	2	0	0	0	0	0	0	0	1	0	0	37	69	106	28	51	19	14	9	17
ola-miR-148a-5p	49	18	47	21	25	55	10	10	13	0	0	0	0	0	8	5	1	3	39	68	51	26	57	26	32	22	43
ola-miR-148a-3p	345	172	456	232	216	329	85	100	243	0	0	0	1	11	21	50	49	28	279	629	719	261	652	338	342	219	491
ola-miR-150-5p	2409	2106	3447	5283	4176	6631	1098	1732	5535	690	586	670	106	89	150	84	58	36	707	3054	718	1369	1135	325	519	424	1642
ola-miR-150-3p	108	42	21	52	62	200	10	43	78	0	0	0	0	0	0	1	3	0	3	11	3	3	6	3	3	1	4
ola-miR-152a-3p	51	25	76	51	51	99	9	21	26	0	0	0	0	0	0	5	6	10	165	655	492	250	510	171	160	104	214
ola-miR-153a-5p	156	98	174	173	115	254	42	49	274	0	0	0	0	0	0	12	14	11	13	18	15	13	10	6	9	6	4
ola-miR-153a-3p	3869	482	5628	3495	1986	6745	607	189	1147	26	0	0	0	6	57	824	1153	510	1192	1777	2216	1312	1640	907	1116	782	1024
ola-miR-153c-5p	99	66	81	136	124	166	51	32	227	14	8	12	0	1	0	7	6	11	31	61	36	29	40	24	3	2	7
ola-miR-153c-3p	4693	2187	3234	3936	3069	5931	645	559	5948	0	58	20	0	9	0	226	351	183	1462	2041	1651	1056	2045	1340	247	197	353
ola-miR-155-5p	17	12	10	30	12	40	16	11	11	103	70	0	2	4	37	12	20	8	202	1171	186	929	141	137	54	58	70
ola-miR-15a-2-5p	9150	5173	6280	7930	5221	9865	2424	2634	10147	632	386	249	75	27	160	1229	1157	872	7576	16396	11614	7628	11744	7124	19515	12864	16530
ola-miR-15a-2-3p	17	0	9	5	0	27	1	0	1	0	2	28	0	0	4	17	10	12	10	37	16	5	7	8	95	45	14
ola-miR-15b-1-5p	5480	2478	3003	4130	2503	5707	1056	1342	4586	122	84	99	15	15	46	616	434	362	3505	7304	7295	4110	6786	2620	15688	9443	7948
ola-miR-15b-1-3p	75	57	68	147	41	109	34	75	159	47	37	34	15	0	0	33	23	21	41	118	68	82	67	30	202	133	84
ola-miR-15c-5p	14329	9361	10463	17910	10062	19149	6862	6158	24288	4381	3831	5616	476	269	944	3487	3271	1892	8508	15259	10797	9327	11878	5907	11139	8028	7893
ola-miR-15c-3p	44	17	30	34	29	73	7	22	25	0	0	0	0	3	0	3	3	1	19	51	36	22	32	17	27	19	11
ola-miR-16a-5p	8420	5850	12582	12711	8533	11434	5745	6424	15672	1796	1349	1517	401	224	1403	3517	3161	2396	11625	44480	18049	18020	22608	11155	26055	15176	33181
