miRNA,D10_WT_Fe_Ov-1,D10_WT_Fe_Ov-2,D10_WT_Fe_Ov-3,D10_MT_Fe_Ov-1,D10_MT_Fe_Ov-2,D10_MT_Fe_Ov-3,D10_WT_Ma_Te-1,D10_WT_Ma_Te-2,D10_WT_Ma_Te-3,D30_WT_Fe_Ov-1,D30_WT_Fe_Ov-2,D30_WT_Fe_Ov-3,D30_MT_Fe_Ov-1,D30_MT_Fe_Ov-2,D30_MT_Fe_Ov-3,D30_WT_Ma_Te-1,D30_WT_Ma_Te-2,D30_WT_Ma_Te-3,D120_WT_Fe_Ov-1,D120_WT_Fe_Ov-2,D120_WT_Fe_Ov-3,D120_MT_Fe_Ov-1,D120_MT_Fe_Ov-2,D120_MT_Fe_Ov-3,D120_WT_Ma_Te-1,D120_WT_Ma_Te-2,D120_WT_Ma_Te-3
ola-let-7a-2-5p,102.1405864,98.36683089,74.78309803,95.47541199,107.9772303,139.2497545,123.6042689,71.06366828,98.16715543,3026.712092,2614.705669,2584.631718,2144.10232,861.8318511,1064.938467,714.1866333,624.4502899,530.4760116,1365.374707,987.8956487,641.8194117,946.3479429,940.9779054,1177.750932,570.4931905,719.0190986,549.4807407
ola-let-7a-3-5p,8830.30972,8543.928482,5219.323126,6190.949452,7358.19834,10225.89871,6712.935996,5847.864993,7684.597812,176618.2788,141264.6708,174798.4651,162942.4542,80498.76226,169288.1997,53860.16938,48498.97251,44405.12552,104467.7762,68407.58044,47372.22258,68641.47618,71073.41871,98617.60283,38897.57827,49351.45995,34396.62218
ola-let-7a-3-3p,106.9915905,131.699667,120.6445559,124.0082937,123.1615283,174.0621932,110.5725089,88.13482882,96.23114425,228.3612304,514.9310946,291.3172882,27.966552,0,51.25372301,348.6580414,295.8996472,313.0137957,369.2557047,498.9228384,567.6882943,506.3182456,472.2293557,415.5028398,340.7352946,372.7895854,226.7698295
ola-let-7a-4-3p,10.37575878,13.28651507,13.2213212,18.65611499,8.810642056,11.45295212,13.03175998,15.4831456,10.13558797,0,62.93602267,29.13172882,0,0,11.38971623,22.49406719,55.09855499,26.35905648,25.59737186,39.51582595,41.94260593,30.93465591,35.19481685,19.22255131,42.48353546,58.81158854,44.48177425
ola-let-7a-5-3p,12.5317606,11.42174103,10.74232347,14.81515014,9.560483933,10.65918316,12.24195634,14.2921344,12.86878024,6310.17627,7498.922459,8054.923019,1202.561736,1613.642615,939.6515886,845.4020252,1136.662783,856.6693355,349.6492071,323.8023435,287.2580802,356.0642027,270.7293604,334.1766612,275.709475,272.2407405,153.5057307
ola-let-7a-6-3p,0.134750114,0,1.239498862,0.274354632,0,0.340186697,0.394901818,0,0.569415055,0,0,0,0,0,0,3.749011198,4.081374444,3.29488206,8.169373997,5.117157317,13.65573216,10.73243164,3.867562291,12.56859124,6.936087422,4.742870043,1.744383304
ola-let-7b-5p,623.8930278,645.91111,475.76098,670.1111891,729.033765,810.4381072,224.6991342,575.6554135,908.5586613,35320.69323,26242.4143,33558.13317,11988.32863,21472.44889,9006.418105,7329.316893,5989.416996,6405.250724,21715.82996,21571.09238,16161.55902,21642.89538,23584.39485,20554.08265,8455.957579,8405.314291,7844.491717
ola-let-7b-3p,14.4182622,7.459096181,14.25423692,12.62031308,12.93477238,18.82366389,9.082741803,9.925093336,9.452289908,511.0354022,865.8470998,917.6494579,9.322184001,18.3368479,28.47429056,88.10176316,48.97649332,69.19252325,29.95437132,60.55302825,56.57374754,102.2737603,51.8253347,53.23168054,59.82375402,41.73725638,36.63204938
ola-let-7c-2-5p,1338.877133,1321.425508,770.5551261,978.0742637,1242.675451,1640.607043,513.7672646,871.4231949,1151.471124,7332.247075,5500.226951,5926.688386,4316.171193,4107.453929,11127.75275,1546.467119,1308.080509,1317.952824,1303.83209,1196.846239,871.0406302,1158.471298,1223.696709,1193.276839,1030.008982,1160.106013,955.0498588
ola-let-7c-3p,13.87926174,16.08367614,21.2780638,17.14716451,12.74731191,19.39064171,18.16548361,10.7191008,11.95771615,106.1571125,28.60728303,45.31602261,18.644368,0,17.08457434,43.11362878,40.81374444,39.53858472,11.98174853,23.02720793,19.50818881,20.83354377,13.53646802,18.48322241,22.54228412,18.02290617,20.06040799
ola-let-7d-5p,6865.114058,7838.344603,4754.30447,5795.055718,6519.31274,7901.743196,1683.466448,6029.295699,6704.178971,35992.19869,33697.47226,48714.72431,20891.01435,16484.82626,15430.21806,6275.844746,5020.090566,5291.580588,8138.875001,8632.360107,6465.01377,8471.676482,8436.313625,8710.773057,6256.350855,6294.737122,5818.39051
ola-let-7e-5p,294.5637492,263.6324307,228.6875401,255.6985172,245.1982938,369.2159615,252.7371632,209.2209675,302.8149261,20068.63181,15739.72712,16763.69151,17618.92776,10286.97167,36862.81656,19232.42745,19659.9807,16332.73037,12019.32765,8943.085271,6610.837482,9547.444924,8305.976776,11051.48834,5722.272124,6714.955408,3950.155991
ola-let-7e-1-3p,2.560252166,2.797161068,3.718496587,3.978142166,4.873972201,8.618062984,5.923527263,2.382022401,2.960958285,182.6889843,253.6512429,203.9221018,9.322184001,36.67369579,244.8788988,170.5800095,267.3300261,204.2826877,51.19474372,63.39589342,60.4753853,69.44514591,59.56045928,51.75302275,46.8185901,64.50303259,22.67698295
ola-let-7e-2-3p,11.31900958,10.02316049,7.023826887,10.15112139,7.310958302,11.79313882,4.73882181,3.573033601,9.338406897,119.7353478,59.12171827,22.65801131,9.322184001,0,45.5588649,73.10571837,59.17992943,95.55157973,34.85599572,35.25152818,44.86883425,46.71764361,34.80806062,59.14631171,36.41445897,44.58297841,24.42136625
ola-let-7g-5p,4049.106176,3538.641848,2374.87982,2735.45286,3066.103435,4424.468178,2517.499087,2870.336993,3802.667618,34628.20323,24558.39891,25202.18229,33522.57367,15861.37343,66609.90791,16137.6187,20045.67058,16424.98707,15067.5934,9898.856543,6765.927583,9531.661936,8978.932615,14085.69413,15952.13406,18661.29647,12160.09601
ola-let-7g-1-3p,23.58126995,26.33993339,22.10439638,23.0457891,22.68271678,28.80247366,16.58587634,17.865168,21.52388907,162.9388239,162.1079372,67.97403392,9.322184001,0,37.01657773,106.8468192,77.54611443,85.66693355,67.53349171,50.88728665,70.71718442,61.2379923,51.43857847,82.0655075,100.5732676,81.57736475,47.0983492
ola-let-7g-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ola-let-7h-1-5p,597.3472554,669.2207855,592.8936225,556.2540167,605.3098553,696.0219815,364.8892794,574.861406,701.0638154,10237.98943,5933.150501,8964.48033,9154.384689,4877.60154,3362.813715,2789.264332,2536.574217,2833.598571,3888.077398,4367.778056,3171.05609,3749.40656,3445.224489,4140.981149,6806.902794,6188.496833,5698.900254
ola-let-7h-1-3p,17.11326448,16.78296641,20.45173123,17.97022841,18.9335074,15.98877475,20.13999269,22.23220907,14.91867443,355.5028885,497.7667248,352.8176046,0,0,56.94858113,20.61956159,12.24412333,36.24370266,16.33874799,37.52582032,27.31146433,49.87424115,17.40403031,25.13718248,58.95674309,45.53155242,49.71492416
ola-let-7i-5p,992.7040898,900.2196704,1327.090115,1075.744513,893.4365966,1356.664547,548.1237227,897.6254413,1301.796698,15763.09683,10477.8942,11333.86094,12547.65967,12212.3407,14587.37906,4669.393447,6136.346476,6184.493626,5060.654879,5337.479368,4736.588242,5294.245396,5149.65919,7180.362242,14717.5105,14987.46934,11328.02517
ola-let-7i-1-3p,19.80826676,15.38438587,22.72414581,18.93046962,13.68461426,20.7513885,22.5094036,11.11610454,24.25708133,2.468770059,17.16436982,14.56586441,0,0,8.542287169,54.36066238,34.69168277,36.24370266,78.42599037,175.6890679,164.8441954,68.18250689,101.7168883,141.2118192,1140.11937,353.8181052,158.7388806
ola-let-7j-5p,1246.842805,1219.562226,1181.035833,1353.802932,1049.966088,1473.461979,1023.190609,1302.569249,1718.950167,7879.079643,6493.853248,8114.804906,16854.50867,9168.423948,27896.26246,8328.428377,8672.920693,8906.066207,5416.29496,5978.545465,4303.994155,5630.738694,5031.698541,5706.140422,9457.355201,9415.54561,6851.065426
ola-let-7j-3p,13.20551117,10.72245076,16.73323464,19.06764694,11.81000956,21.99873972,4.73882181,8.734082135,12.07159916,0,0,0,0,0,0,28.11758399,28.56962111,26.35905648,35.40062065,40.3686855,39.99178705,47.98028263,34.80806062,42.14174709,106.6423441,90.11453083,68.9031405
ola-miR-1-1-5p,7.276506156,5.36122538,12.39498862,4.801206063,3.186827978,4.535822623,9.082741803,9.528089602,2.163777208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948574009,1.744383304
